"Property","en","pt-br","pt","pl","nl","lt","ja","it","id","hr","hi","gl","fr","fi","es-es","el","de-de","cs","ca","bg","sk","sh","ru","sr","sr-cs","ro","uk","tr","zh-tw","zh-cn"
"alias_last_adjusted","The alias was last adjusted on __timestamp__.","O pseudônimo foi ajustado pela última vez em __timestamp__.","O álias foi ajustado pela última vez em __timestamp__.","Czas ostatniej modyfikacji aliasu __timestamp__.","De alias is voor het laatst bijgewerkt op __timestamp__.","Laiko žyma kada pseudonimas buvo koreguotas- __timestamp__.","エイリアスは__timestamp__ に更新されました。","L'alias è stato modifcato l'ultima volta il __timestamp__.","Alias terakhir disesuaikan pada __timestamp__.","Pseudonim je posljedni put usklađen u __timestamp__.","उपनाम आखिर बार __timestamp__ बजे समायोजित हुआ था","O Alias modificouse por derradeira vez en __timestamp__.","L'alias a été modifié à __timestamp__.","Aliasta muutettiin viimeksi __timestamp__.","El alias se modificó por última vez en __timestamp__.","Το ψευδώνυμο έχει προσαρμοστεί τελευταία στις __timestamp__.","Das Alias wurde zuletzt am __timestamp__ geändert.","Alias byl naposledy upraven v __timestamp__.","L'àlies es va modificar per darrera vegada en __timestamp__.","Последно коригиране на псевдонима на __timestamp__.","Alias bol naposledy upravený __timestamp__.","Pseudonim je posljedni put usklađen u __timestamp__.","Псевдоним был скорректирован последний раз __timestamp__.","Алиас је посљедни пут усклађен у __timestamp__.","Alias je posljedni put usklađen u __timestamp__.","Ultimul alias a fost configurat pe __timestamp__.","Альяс був скоректований останній раз __timestamp__.","Son olarak  __timestamp__ rumuznuz güncellenmiştir.","別名最後一次調整的時間是 __timestamp__。","别名最后一次调整的时间是 __timestamp__ 。"
"alias_minimum_fee_help","The minimum fee to register an alias is 0.2 SIGNA.","A tarifa mínima para registrar um pseudônimo é 0.2 SIGNA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"alias_name","Alias Name","Nome do Pseudônimo","Nome do Alias","Nazwa aliasu","Aliasnaam","Pseudonimas","エイリアス名","Nome dell'alias","Nama alias","Ime pseudonima",,"Nome do Alias","Nom de l'alias","Aliaksen nimi","Nombre de Alias","Όνομα ψευδώνυμου","Aliasname","Název aliasu","Nom de l'Àlies","Име на псевдоним","Názov aliasu","Ime pseudonima","Название псевдонима","Име Алиас-а","Ime Alias-a","Nume Alias","Назва Альяса","Rumuz adı","別名名稱","别名名称"
"alias_sale","Alias Sale","Venda de Pseudônimo","Venda de Alias","Sprzedaj alias","Alias Verkopen","Pseudonimo pardavimas","エイリアスの販売","Vendita Alias","Alias Dijual","Prodaja pseudonima","उपनाम सेल","Venta de Alias","Vendre un alias","Aliaksen myynti","Venta de Alias","πώληση ψευδώνυμου","Alias-Verkauf","Prodej aliasu","Venda d'àlies","Продажба на псевдоним","Predaj Aliasu","Prodaja pseudonima","Продажа псевдонима","Продаја Алиас-а","Prodaja Alias-a","Vânzare alias","Продаж Псевдоніму","Rumuz sat","别名出售","别名出售"
"alias_sale_cancellation","Alias Sale Cancellation","Cancelamento da Venda de Pseudônimo","Cancelamento de Venda de Álias","Anuluj sprzedaż aliasu","Alias verkoop annuleren","Pseudonimo pardavimo atšaukimas","エイリアス販売のキャンセル","Annullamento vendita Alias","Alias Dijual Pembatalan","Odgoda prodaje pseudonima","उपनाम बिक्री रद्द","Cancelación da venta do Alias","Annuler la vente de l'alias","Aliaksen myynnin peruutus","Cancelación de Venta de Alias","Ακύρωση πώλησης ψευδώνυμου","Alias-Verkauf abbrechen","Zrušení aliasu prodeje","Cancel·lació de Venda de l'Àlies","Отказ продажба на псевдоним","Zrušenie Predaja aliasu","Odgoda prodaje pseudonima","Отмена продажи псевдонима","Одустајање од Продаје Алиаса","Odustajanje od Prodaje Aliasa","Anulare Vânzare Alias","Відміна продажу альяса","Rumuz satım iptali","别名出售取消","别名出售取消"
"alias_sale_direct_offer","You have been offered this alias for __burst__ __valueSuffix__.","Este pseudônimo foi oferecido a você por __burst__ __valueSuffix__.","Foi oferecido este alias para você por __burst__ __valueSuffix__.","Zaoferowana Tobie cena za alias to __burst__ __valueSuffix__.","U heeft deze Alias aangeboden gekregen voor __burst__ __valueSuffix__.","Jums buvo pasiūlytas šis pseudonimas už __burst__ __valueSuffix__.","__burst__ __valueSuffix__であなたはこのエイリアスを買うことができます。","Ti è stato offerto questo alias per __burst__ __valueSuffix__.","Anda telah ditawarkan alias ini untuk __burst__ __valueSuffix__.","Ponudili ste ovaj pseudonim za __burst__ __valueSuffix__.","आपको __burst__ __valueSuffix__ के लिए इस उपनाम की पेशकश की गई है।","Ofrecéronlle este Alias por __burst__ __valueSuffix__.","On vous propose __burst__ __valueSuffix__ pour cet alias.","Sinulle on tarjottu tätä aliasta hintaan __burst__ __valueSuffix__.","Le han ofrecido este alias por __burst__ __valueSuffix__.","Έχετε προσφέρει αυτό το ψευδώνυμο για __burst__ __valueSuffix__.","Dieses Alias wird Ihnen für __burst__ __valueSuffix__ angeboten.","Byl vám nabídnut tento alias za __burst__ __valueSuffix__.","Us han ofert per aquest àlies __burst__ __valueSuffix__.","Имате предложен псевдоним за __burst__ __valueSuffix__.","Dostali ste ponuku na tento alias za __burst__ __valueSuffix__.","Ponudili ste ovaj pseudonim za __burst__ __valueSuffix__.","Вам предложили этот псевдоним за __burst__ __valueSuffix__.","Понудили сте овај алиас за __burst__ __valueSuffix__.","Ponudili ste ovaj alias za __burst__ __valueSuffix__.","Ți-a fost oferit acest alias pentru __burst__ __valueSuffix__.","Вам пропонується цей псевдонім за __burst__ __valueSuffix__.","Bu rumuz  için __burst__ __valueSuffix__ teklifte bulundunuz.","您給該別名的出價是__burst__ __valueSuffix__。","您给该别名的出价是 __burst__ __valueSuffix__。"
"alias_sale_indirect_offer","This alias is offered for sale for __burst__ __valueSuffix__.","Este pseudônimo é oferecido para venda por __burst__ __valueSuffix__.","Este álias é oferecido para venda por __burst__ __valueSuffix__.","Alias wystawiony na sprzedaż za __burst__ __valueSuffix__.","Deze alias wordt aangeboden voor  __burst__ __valueSuffix__.","Šis pseudonimas yra siūlomas parduoti už __burst__ __valueSuffix__.","このエイリアスは__burst__ __valueSuffix__ で販売されています。","Questo alias è offerto in vendita per __burst__ __valueSuffix__.","Alias ini ditawarkan untuk dijual __burst__ __valueSuffix__.","Ovaj pseudonim prodaje se za for __burst__ __valueSuffix__.","यह उपनाम __burst__ __valueSuffix__ के लिए बिक्री के लिए पेशकश किया गया है।","Este Alias está á venda por __burst__ __valueSuffix__.","Cet alias est en vente pour __burst__ __valueSuffix__.","Tämä alias on myytävänä hintaan __burst__ __valueSuffix__.","Este alias está a la venta por __burst__ __valueSuffix__.","Αυτό το ψευδώνυμο προσφέρεται προς πώληση για __burst__ __valueSuffix__.","Das Alias wird für __burst__ __valueSuffix__ zum Verkauf angeboten.","Tento alias je nabízen k prodeji za __burst__ __valueSuffix__.","Aquest Àlies està en venda per __burst__ __valueSuffix__.","Псевдонимът се предлага за продажба за __burst__ __valueSuffix__.","Tento alias je ponúkaný na predaj za __burst__ __valueSuffix__.","Ovaj pseudonim prodaje se za for __burst__ __valueSuffix__.","Этот псевдоним выставлен на продажу за __burst__ __valueSuffix__.","Овај алиас продаје се за __burst__ __valueSuffix__.","Ovaj alias prodaje se za __burst__ __valueSuffix__.","Acest alias este oferit spre vânzare pentru __burst__ __valueSuffix__.","Цей псевдонім пропонується до продажу за __burst__ __valueSuffix__.","Bu rumuz icin __burst__ __valueSuffix__  teklif edilmektedir.","該別名的售價為 __burst__ __valueSuffix__。","该别名的售价为 __burst__ __valueSuffix__。"
"alias_sale_info_outdated","This alias sale info is outdated.","A informação de venda do pseudônimo está desatualizada.","A informação de venda do alias está desatualizada.","Informacja o tym aliasie jest nieaktualna.","De verkoopinformatie van deze alias is verouderd.","Šis pseudonim pardavimo informacija yra pasenusi.","このエイリアス販売情報は最新ではありません。","Le informazioni sulla vendita dell'alias sono obsolete.","Informasi penjualan alias ini kadaluarsa.","Ovi podaci o prodaji pseudonima su zastarjeli.","इस उपनाम बिक्री की जानकारी पुरानी हो चुकी है।","A información da venda do alias está desactualizada.","Les informations relatives à la vente de cet alias sont périmées.","Nämä aliaksen myyntitiedot ovat vanhentuneet.","La información de venta del alias no está actualizada.","Αυτή η πληροφορία πώλησης ψευδωνύμου είναι ξεπερασμένη.","Die Informationen zum Verkauf dieses Alias sind veraltet.","Info o prodeji tohoto aliasu je zastaralé.","La informació de venta d'aquest Àlies no està actualitzada.","Информацията за продажба на псевдонима е остаряла.","Informácie o predaji tohto aliasu sú zastarané.","Ovi podaci o prodaji pseudonima su zastarjeli.","Информация о продаже данного псевдонима устарела.","Информације о продаји овог алиас-а су застареле.","Informacije o prodaji ovog aliasa su zastarele.","Informațiile despre această vânzare de alias sunt dezactualizate.","Iнформація про продаж цього псевдоніма застаріла.","Bu rumuz satış bilgileri güncel değildir.","此別名出售資訊是過時的。","该别名的出售信息已过时。"
"alias_transfer","Alias Transfer","Transferência de Pseudônimo","Transferência de Alias","Transfer aliasu","Alias overdracht","Pseudonimo persiuntimas","エイリアスの転送","Trasferisci Alias",,"Transfer pseudonima","उपनाम ट्रांसफर","Transferencia de Alias","Transférer un alias","Aliaksen siirto","Transferencia de Alias","μεταφορά ψευδώνυμου","Alias-Übertragung","Převod aliasu","Transferència d'Àlies","Прехвърляне на псевдоним","Prevod aliasu","Transfer pseudonima","Передача псевдонима","Трансфер Алиаса","Transfer Alias-a","Transfer de alias","Передача альяса","Rumuz Transferi","別名轉移","别名转移"
"alias_uri","Alias URI","URI do pseudônimo","URI do Alias","URI aliasu","Alias URL","Pseudonimo URI","URI のエイリアス","URI dell'Alias",,"Pseudonim URI",,"URI do Alias","URI de l'alias","Aliaksen URI","URI del Alias",,"Alias-URI","URI aliasu","URI de l'Àlies","Псевдоним URI","URI aliasu","Pseudonim URI","URI псевдонима","Алиас URI",,"Alias-URI","URI Псевдоніма",,"别名 URI","别名 URI"
"all_blocks","All Blocks","Todos os Blocos","Todos os Blocos","Wszystkie bloki","Alle Blokken","Visi blokai","全てのブロック","Tutti i blocchi","Semua Blok","Svi blokovi","सभी ब्लाक","Tódolos bloques","Tous les blocs","Kaikki lohkot","Todos los Bloques","Όλα τα μπλοκ","Alle Blöcke","Všechny bloky","Tots els Blocs","Всички блокове","Všetky bloky","Svi blokovi","Все Блоки","Сви Блокови","Svi Blokovi","Toate blocurile","Всі блоки","Tüm Bloklar","所有區塊","所有区块"
"all_transactions","All Transactions","Todas as transações","Todas as Transações","Wszystkie transakcje","Alle Transacties","Visos transakcijos","全てのトランザクション","Tutte le traduzioni","Semua transaksi","Sve transakcije",,"Tódalas transaccións","Toutes les transactions","Kaikki tapahtumat","Todas las Transacciones","Όλες οι συναλλαγές","Alle Transaktionen","Všechny transakce","Totes les transaccions","Всички сделки","Všetky transakcie","Sve transakcije","Все Транзакции","Све Трансакције","Sve Transakcije","Toate Tranzacţiile","Всі транзакції","Tüm İşlemler","所有交易","所有交易"
"amount","Amount","Valor","Quantidade","Kwota","Bedrag","Kiekis","量","Ammontare","Jumlah","Iznos","राशि","Cantidade","Montant","Summa","Cantidad","Ποσό","Menge","Částka","Quantitat","Сума","Suma","Iznos","Количество","Количина","Količina","Cantitate","Сума","Miktar","數量","数量"
